PM10 measurements at station level;;;;;;;;;;;;;;;;;;;;
PM10: Percentile 90.4 concentrations and exceedance flag:;;;;;;;;;;;;;;;;;;;;
statistic_value is the percentile 90.4 of the daily concentrations recorded for a specific year;;;;;;count_type_by_city: count of station of the same type (traffic or background) within the same city. Note: one station_european_code can be counted several times if the same station shows several concentration statistics for the same year (distinct measurements recorded under different measurement_european_group_code);;;;;;;;;;;;;;
"above_DLV? = 1 if round(statistic_value,0) > 50; round(statistic_value,0) means that statistic_value is rounded to an integer value";;;;;;in the case of a traffic station: assigned_population=(UA_city_pop*percentage_taffic_population/100)/count_type_by_city;;;;;;;;;;;;;;
above_DLV? = 0 if round(statistic_value,0) <= 50;;;;;;in the case of a background station: assigned_population=(UA_city_pop*percentage_background_population/100)/count_type_by_city;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
station_european_code;type_of_station;station_type_of_area;component_caption;component_name;measurement_unit;measurement_european_group_code;statistics_year;statistic_shortname;statistic_value;statistics_percentage_valid;above_DLV?;country_iso_code;country_name;city_name;city_code;UA_city_pop;percentage_traffic_population;percentage_background_population;count_type_by_city;assigned_population
AT2KA21;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2001;P90.4;59,4;99,452;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;5967,104
AT2KA21;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2002;P90.4;59;98,356;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;5967,104
AT2KA21;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2003;P90.4;68,3;97,808;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;5967,104
AT2KA21;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2004;P90.4;71;96,721;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;2;2983,552
AT2KA21;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2005;P90.4;69,1;99,726;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;2;2983,552
AT2KA21;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2006;P90.4;71,7;100;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;2;2983,552
AT2KA21;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2007;P90.4;53;100;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;4;1491,776
AT2KA21;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2007;P90.4;57,938;97,808;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;4;1491,776
AT2KA21;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2008;P90.4;49,23;97,814;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;4;1491,776
AT2KA21;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2008;P90.4;50,046;96,721;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;4;1491,776
AT2KA21;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2009;P90.4;50,4;100;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;5;1193,4208
AT2KA21;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2009;P90.4;48,463;98,904;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;5;1193,4208
AT2KA21;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2010;P90.4;53,76;100;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;3;1989,03466666667
AT2KA21;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2011;P90.4;58,23;99,178;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;3;1989,03466666667
AT2KA21;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2011;P90.4;55,348;100;1;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;3;1989,03466666667
AT2KA21;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2012;P90.4;47,796;100;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;5967,104
AT2KA61;Traffic;suburban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2009;P90.4;38,3;96,986;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;5;1193,4208
AT2KA61;Traffic;suburban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2010;P90.4;42,097;100;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;3;1989,03466666667
AT2KA61;Traffic;suburban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2011;P90.4;43,97;96,438;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;3;1989,03466666667
AT2KA71;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2011;P90.4;48,25;99,726;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;2;43634,448
AT2KA71;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2011;P90.4;43,759;98,082;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;2;43634,448
AT2KA71;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2012;P90.4;39,285;98,634;0;AT;Austria;Klagenfurt;AT006C1;93236;6,4;93,6;1;87268,896
AT4S184;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2009;P90.4;42,8;98,904;0;AT;Austria;Linz;AT003C1;185739;6,4;93,6;3;57950,568
AT4S184;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2010;P90.4;48;100;0;AT;Austria;Linz;AT003C1;185739;6,4;93,6;2;86925,852
AT4S184;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2011;P90.4;47,644;98,63;0;AT;Austria;Linz;AT003C1;185739;6,4;93,6;5;34770,3408
AT4S184;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2011;P90.4;48;99,178;0;AT;Austria;Linz;AT003C1;185739;6,4;93,6;5;34770,3408
AT4S184;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;102;2011;P90.4;47,644;98,63;0;AT;Austria;Linz;AT003C1;185739;6,4;93,6;5;34770,3408
AT4S184;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2012;P90.4;39;100;0;AT;Austria;Linz;AT003C1;185739;6,4;93,6;2;86925,852
AT4S412;Background;suburban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2000;P90.4;45;94,262;0;AT;Austria;Linz;AT003C1;185739;6,4;93,6;1;173851,704
AT4S414;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2001;P90.4;62;99,178;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;3;57950,568
AT4S414;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2002;P90.4;64,4;98,356;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;4;43462,926
AT4S414;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2003;P90.4;67;99,452;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;3;57950,568
AT4S414;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2004;P90.4;53,7;99,727;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;3;57950,568
AT4S414;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2005;P90.4;60,3;98,356;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;3;57950,568
AT4S414;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2006;P90.4;67,5;98,904;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;3;57950,568
AT4S414;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2007;P90.4;43;93,699;0;AT;Austria;Linz;AT003C1;185739;6,4;93,6;3;57950,568
AT4S415;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2001;P90.4;53;97,534;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;2;5943,648
AT4S415;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2002;P90.4;57;93,699;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;2;5943,648
AT4S415;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2003;P90.4;53;99,178;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;2;5943,648
AT4S415;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2004;P90.4;43,9;84,973;0;AT;Austria;Linz;AT003C1;185739;6,4;93,6;2;5943,648
AT4S415;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2005;P90.4;56,5;99,726;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;3;3962,432
AT4S415;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2006;P90.4;59,8;97,534;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;2;5943,648
AT4S415;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2007;P90.4;44;99,726;0;AT;Austria;Linz;AT003C1;185739;6,4;93,6;2;5943,648
AT4S415;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2008;P90.4;44,7;96,721;0;AT;Austria;Linz;AT003C1;185739;6,4;93,6;2;5943,648
AT4S415;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2009;P90.4;37,7;96,164;0;AT;Austria;Linz;AT003C1;185739;6,4;93,6;2;5943,648
AT4S415;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2010;P90.4;48,1;81,37;0;AT;Austria;Linz;AT003C1;185739;6,4;93,6;3;3962,432
AT4S415;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2011;P90.4;54,656;95,342;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;2;5943,648
AT4S415;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2012;P90.4;42,41;97,814;0;AT;Austria;Linz;AT003C1;185739;6,4;93,6;2;5943,648
AT4S416;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2001;P90.4;53;96,164;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;3;57950,568
AT4S416;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2001;P90.4;54,208;98,356;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;3;57950,568
AT4S416;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2002;P90.4;61,1;93,699;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;4;43462,926
AT4S416;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2002;P90.4;59,812;96,986;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;4;43462,926
AT4S416;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2003;P90.4;65;100;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;3;57950,568
AT4S416;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2003;P90.4;60,021;97,808;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;3;57950,568
AT4S416;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2004;P90.4;52,021;100;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;3;57950,568
AT4S416;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2004;P90.4;52,021;100;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;3;57950,568
AT4S416;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2005;P90.4;55,792;99,452;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;3;57950,568
AT4S416;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2005;P90.4;55,792;99,452;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;3;57950,568
AT4S416;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2006;P90.4;60,729;99,178;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;3;57950,568
AT4S416;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2006;P90.4;60,729;99,178;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;3;57950,568
AT4S416;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2007;P90.4;44,23;99,178;0;AT;Austria;Linz;AT003C1;185739;6,4;93,6;3;57950,568
AT4S416;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2007;P90.4;44,229;99,178;0;AT;Austria;Linz;AT003C1;185739;6,4;93,6;3;57950,568
AT4S416;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2008;P90.4;49;99,18;0;AT;Austria;Linz;AT003C1;185739;6,4;93,6;2;86925,852
AT4S416;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2008;P90.4;46,367;93,169;0;AT;Austria;Linz;AT003C1;185739;6,4;93,6;2;86925,852
AT4S416;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2009;P90.4;47;99,726;0;AT;Austria;Linz;AT003C1;185739;6,4;93,6;3;57950,568
AT4S416;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2009;P90.4;43,817;94,795;0;AT;Austria;Linz;AT003C1;185739;6,4;93,6;3;57950,568
AT4S416;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2010;P90.4;54;98,904;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;2;86925,852
AT4S416;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2011;P90.4;51,351;98,904;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;5;34770,3408
AT4S416;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;102;2011;P90.4;51,351;98,904;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;5;34770,3408
AT4S416;Background;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2012;P90.4;42;96,721;0;AT;Austria;Linz;AT003C1;185739;6,4;93,6;2;86925,852
AT4S425;Background;suburban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2002;P90.4;49;97,808;0;AT;Austria;Linz;AT003C1;185739;6,4;93,6;4;43462,926
AT4S431;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2001;P90.4;60;91,507;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;2;5943,648
AT4S431;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2002;P90.4;61;91,781;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;2;5943,648
AT4S431;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2003;P90.4;64;99,178;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;2;5943,648
AT4S431;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2004;P90.4;54,3;100;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;2;5943,648
AT4S431;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2005;P90.4;64;100;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;3;3962,432
AT4S431;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2005;P90.4;64;100;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;3;3962,432
AT4S431;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2006;P90.4;74;99,726;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;2;5943,648
AT4S431;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2007;P90.4;53;98,63;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;2;5943,648
AT4S431;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2008;P90.4;53;100;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;2;5943,648
AT4S431;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2009;P90.4;47;100;0;AT;Austria;Linz;AT003C1;185739;6,4;93,6;2;5943,648
AT4S431;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2010;P90.4;49,101;97,808;0;AT;Austria;Linz;AT003C1;185739;6,4;93,6;3;3962,432
AT4S431;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2010;P90.4;52;100;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;3;3962,432
AT4S431;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2011;P90.4;56;99,452;1;AT;Austria;Linz;AT003C1;185739;6,4;93,6;2;5943,648
AT4S431;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2012;P90.4;46;100;0;AT;Austria;Linz;AT003C1;185739;6,4;93,6;2;5943,648
AT51000;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2000;P90.4;45;92,623;0;AT;Austria;Salzburg;AT004C1;147337;6,4;93,6;1;9429,568
AT51000;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2001;P90.4;46,5;96,986;0;AT;Austria;Salzburg;AT004C1;147337;6,4;93,6;3;3143,18933333333
AT51000;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2001;P90.4;40,917;90,959;0;AT;Austria;Salzburg;AT004C1;147337;6,4;93,6;3;3143,18933333333
AT51000;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2002;P90.4;50,5;94,247;1;AT;Austria;Salzburg;AT004C1;147337;6,4;93,6;3;3143,18933333333
AT51000;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2002;P90.4;49,938;96,986;0;AT;Austria;Salzburg;AT004C1;147337;6,4;93,6;3;3143,18933333333
AT51000;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2003;P90.4;57,312;98,904;1;AT;Austria;Salzburg;AT004C1;147337;6,4;93,6;3;3143,18933333333
AT51000;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2003;P90.4;57,312;98,904;1;AT;Austria;Salzburg;AT004C1;147337;6,4;93,6;3;3143,18933333333
AT51000;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2004;P90.4;50;96,995;0;AT;Austria;Salzburg;AT004C1;147337;6,4;93,6;3;3143,18933333333
AT51000;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2004;P90.4;46,521;98,361;0;AT;Austria;Salzburg;AT004C1;147337;6,4;93,6;3;3143,18933333333
AT51000;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2005;P90.4;53;100;1;AT;Austria;Salzburg;AT004C1;147337;6,4;93,6;3;3143,18933333333
AT51000;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2005;P90.4;54,848;96,438;1;AT;Austria;Salzburg;AT004C1;147337;6,4;93,6;3;3143,18933333333
AT51000;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2006;P90.4;64;100;1;AT;Austria;Salzburg;AT004C1;147337;6,4;93,6;3;3143,18933333333
AT51000;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2006;P90.4;55,688;98,082;1;AT;Austria;Salzburg;AT004C1;147337;6,4;93,6;3;3143,18933333333
AT51000;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2007;P90.4;43,021;99,178;0;AT;Austria;Salzburg;AT004C1;147337;6,4;93,6;3;3143,18933333333
AT51000;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2007;P90.4;43,021;99,178;0;AT;Austria;Salzburg;AT004C1;147337;6,4;93,6;3;3143,18933333333
AT51000;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2008;P90.4;49;98,907;0;AT;Austria;Salzburg;AT004C1;147337;6,4;93,6;3;3143,18933333333
AT51000;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2008;P90.4;58,542;96,448;1;AT;Austria;Salzburg;AT004C1;147337;6,4;93,6;3;3143,18933333333
AT51000;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2009;P90.4;54;99,178;1;AT;Austria;Salzburg;AT004C1;147337;6,4;93,6;3;3143,18933333333
AT51000;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2009;P90.4;48,337;96,164;0;AT;Austria;Salzburg;AT004C1;147337;6,4;93,6;3;3143,18933333333
AT51000;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2010;P90.4;53;100;1;AT;Austria;Salzburg;AT004C1;147337;6,4;93,6;2;4714,784
AT51000;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2011;P90.4;45,19;99,178;0;AT;Austria;Salzburg;AT004C1;147337;6,4;93,6;3;3143,18933333333
AT51000;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;101;2011;P90.4;45,19;99,178;0;AT;Austria;Salzburg;AT004C1;147337;6,4;93,6;3;3143,18933333333
AT51000;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2012;P90.4;39;100;0;AT;Austria;Salzburg;AT004C1;147337;6,4;93,6;2;4714,784
AT51066;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2001;P90.4;46,8;90,685;0;AT;Austria;Salzburg;AT004C1;147337;6,4;93,6;3;3143,18933333333
AT51066;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2002;P90.4;36,1;97,808;0;AT;Austria;Salzburg;AT004C1;147337;6,4;93,6;3;3143,18933333333
AT51066;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2003;P90.4;41,4;94,521;0;AT;Austria;Salzburg;AT004C1;147337;6,4;93,6;3;3143,18933333333
AT51066;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2004;P90.4;34,4;96,995;0;AT;Austria;Salzburg;AT004C1;147337;6,4;93,6;3;3143,18933333333
AT51066;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2005;P90.4;43,2;97,808;0;AT;Austria;Salzburg;AT004C1;147337;6,4;93,6;3;3143,18933333333
AT51066;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2006;P90.4;48,6;97,26;0;AT;Austria;Salzburg;AT004C1;147337;6,4;93,6;3;3143,18933333333
AT51066;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2007;P90.4;37;98,356;0;AT;Austria;Salzburg;AT004C1;147337;6,4;93,6;3;3143,18933333333
AT51066;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2008;P90.4;34,85;93,169;0;AT;Austria;Salzburg;AT004C1;147337;6,4;93,6;3;3143,18933333333
AT51066;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2009;P90.4;39;99,178;0;AT;Austria;Salzburg;AT004C1;147337;6,4;93,6;3;3143,18933333333
AT51066;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2010;P90.4;44,969;99,726;0;AT;Austria;Salzburg;AT004C1;147337;6,4;93,6;2;4714,784
AT51066;Traffic;urban;PM10;Particulate matter < 10 µm (aerosol);µg/m3;100;2011;P90.4;37,967;97,26;0;AT;Austria;Salzburg;AT004C1;147337;6,4;93,6;3;3143,18933333333
